# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Mon Nov  8 05:58:16 2021
#
# COLUMN kepid:          KepID
# COLUMN tce_plnt_num:   Planet Number
# COLUMN tce_rogue_flag: Rogue Flag
# COLUMN tce_period:     Orbital Period [days]
# COLUMN tce_period_err: Orbital Period Unc. [days]
# COLUMN tce_time0bk:    Transit Epoch [BKJD]
# COLUMN tce_time0bk_err: Transit Epoch Unc. [BKJD]
# COLUMN tce_impact:     Impact Parameter
# COLUMN tce_impact_err: Impact Parameter Unc.
# COLUMN tce_duration:   Transit Duration [hrs]
# COLUMN tce_duration_err: Transit Duration Unc. [hrs]
# COLUMN tce_depth:      Transit Depth [ppm]
# COLUMN tce_depth_err:  Transit Depth Unc. [ppm]
# COLUMN tce_model_snr:  Transit Signal-to-Noise (SNR)
# COLUMN tce_prad:       Planetary Radius [Earth radii]
# COLUMN tce_prad_err:   Planetary Radius Unc. [Earth radii]
# COLUMN tce_eqt:        Equilibrium Temperature [K]
# COLUMN tce_eqt_err:    Equilibrium Temperature Unc. [K]
# COLUMN tce_insol:      Insolation Flux [Earth flux]
# COLUMN tce_insol_err:  Insolation Flux [Earth flux]
# COLUMN tce_steff:      Stellar Effective Temperature [K]
# COLUMN tce_steff_err:  Stellar Effective Temperature Unc. [K]
# COLUMN tce_slogg:      Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN tce_slogg_err:  Stellar Surface Gravity Unc. [log10(cm/s**2)]
# COLUMN tce_sradius:    Stellar Radius [Solar radii]
# COLUMN tce_sradius_err: Stellar Radius Unc. [Solar radii]
#
kepid,tce_plnt_num,tce_rogue_flag,tce_period,tce_period_err,tce_time0bk,tce_time0bk_err,tce_impact,tce_impact_err,tce_duration,tce_duration_err,tce_depth,tce_depth_err,tce_model_snr,tce_prad,tce_prad_err,tce_eqt,tce_eqt_err,tce_insol,tce_insol_err,tce_steff,tce_steff_err,tce_slogg,tce_slogg_err,tce_sradius,tce_sradius_err
1162345,2,,0.831850,6.693070000e-05,132.227,3.519700000e-02,9.2600000e-01,1.4710000e+00,2.3920,2.1000000e+01,6.0920000e+00,2.63600e+00,2.9500000e+00,0.5099000,7.9440000e-01,2.76e+03,6.370000e+02,,,6510.00,207.00,4.07,0.26,1.728,0.791
1292087,2,,1.095240,1.009340000e-05,132.133,2.685010000e-03,2.5630000e-01,1.3310000e+01,2.1220,4.7550000e-01,3.4530000e+01,4.42700e+00,1.0600000e+01,0.8916000,6.3610000e-01,2.31e+03,6.610000e+02,,,6328.00,207.00,4.15,0.29,1.502,0.852
1293031,2,,0.719273,1.388330000e-05,132.227,2.786260000e-03,7.0000000e-01,1.1030000e+00,1.5210,3.1830000e-01,2.9680000e+01,5.24800e+00,8.3020000e+00,1.4550000,4.2960000e-01,3.33e+03,7.030000e+02,,,6363.00,214.00,3.80,0.35,2.489,1.036
1162345,3,,0.831833,9.431020000e-06,131.919,2.209140000e-03,9.5360000e-02,5.1770000e+01,2.1810,1.2110000e+00,2.7100000e+01,3.55000e+00,1.1950000e+01,0.9062000,8.4880000e-01,2.76e+03,6.370000e+02,,,6510.00,207.00,4.07,0.26,1.728,0.791
1164109,1,,622.408000,8.547390000e-03,162.256,9.840370000e-03,3.1900000e-03,2.1930000e+03,12.0100,1.8430000e+00,1.6130000e+02,5.90800e+01,3.7190000e+00,2.1140000,2.5990000e+00,3.02e+02,7.500000e+01,,,6609.00,200.00,4.11,0.28,1.654,0.816
757450,1,,8.884920,1.186150000e-06,134.452,1.014910000e-04,5.6770000e-02,9.5020000e-01,2.0780,2.3950000e-02,1.6310000e+04,3.95300e+01,4.7330000e+02,10.5700000,1.5360000e-01,7.70e+02,2.760000e+01,,,5332.00,102.00,4.50,0.04,0.843,0.051
892667,1,,2.262110,2.726600000e-05,132.171,6.531110000e-03,3.0000000e-01,1.0610000e+01,7.5090,5.1980000e+00,2.9410000e+01,3.40300e+00,9.2390000e+00,0.9107000,5.8360000e-01,1.96e+03,4.860000e+02,,,6609.00,236.00,4.11,0.28,1.654,0.811
892772,1,,5.092600,3.144550000e-05,133.451,4.821040000e-03,3.0000000e-01,1.6090000e+01,3.3990,2.4260000e-01,2.4650000e+02,1.73800e+01,1.5250000e+01,1.1600000,1.7290000e+00,8.44e+02,7.860000e+01,,,5037.00,197.00,4.55,0.12,0.751,0.127
1026032,1,,8.460440,3.822250000e-07,133.774,3.816630000e-05,9.8290000e-01,3.6380000e-02,4.8040,2.0100000e-03,7.6500000e+04,3.26100e+01,2.3680000e+03,32.0900000,2.0530000e+00,8.01e+02,1.040000e+02,,,5923.00,191.00,4.64,0.18,0.704,0.178
1026032,2,,4.230220,7.327150000e-07,133.998,1.392290000e-04,9.9910000e-01,3.8540000e-02,4.6060,6.9320000e-03,2.8810000e+04,9.38900e+01,1.3110000e+03,20.5800000,2.1060000e+00,1.01e+03,1.320000e+02,,,5923.00,191.00,4.64,0.18,0.704,0.178
1026133,2,,2.691910,2.128260000e-05,132.267,4.653150000e-03,2.0520000e-01,1.6600000e+01,5.5300,1.3040000e+00,4.0430000e+01,3.79000e+00,1.1970000e+01,1.0430000,6.4640000e-01,1.92e+03,5.460000e+02,,,7003.00,299.00,4.15,0.32,1.617,0.909
1026133,1,,1.346290,2.253040000e-05,132.842,1.183560000e-02,9.9480000e-01,7.2280000e-03,1.6260,2.7120000e-01,3.1940000e+01,3.69000e+00,1.1520000e+01,1.3640000,4.9320000e-01,2.42e+03,6.880000e+02,,,7003.00,299.00,4.15,0.32,1.617,0.909
1028018,1,,0.614378,9.733760000e-06,131.652,1.010360000e-03,2.8980000e-01,6.5510000e+00,1.4480,2.5100000e-01,1.2930000e+02,1.61500e+01,1.0860000e+01,1.5540000,6.7100000e-01,2.60e+03,5.470000e+02,,,5930.00,170.00,4.14,0.26,1.353,0.565
1026957,1,,21.761300,1.002540000e-05,144.779,3.854900000e-04,3.1800000e-01,1.3600000e+00,1.2770,3.7370000e-02,1.2210000e+03,1.40100e+01,1.0130000e+02,2.4920000,3.6790000e-01,4.87e+02,2.070000e+01,,,4859.00,105.00,4.61,0.06,0.723,0.053
1160891,1,,0.940463,2.619800000e-05,132.400,5.988500000e-03,7.1200000e-01,1.2980000e+00,3.3540,2.6610000e+00,1.9390000e+01,5.40600e+00,4.0580000e+00,0.8113000,3.2850000e-01,2.47e+03,5.220000e+02,,,5918.00,172.00,3.99,0.34,1.718,0.718
1160891,2,,0.940463,8.053180000e-06,131.660,3.442450000e-02,8.9500000e-01,5.2340000e-02,3.3320,7.3100000e-01,1.1130000e+02,1.07700e+01,1.5230000e+01,2.1300000,9.8770000e-02,2.47e+03,5.220000e+02,,,5918.00,172.00,3.99,0.34,1.718,0.718
1160891,3,,0.940520,7.876050000e-06,132.025,1.624900000e-03,1.0000000e-01,2.9420000e+01,3.1880,1.7450000e+00,7.9630000e+01,6.81000e+00,1.8360000e+01,1.5280000,9.6090000e-01,2.47e+03,5.220000e+02,,,5918.00,172.00,3.99,0.34,1.718,0.718
1162150,2,,0.778568,9.102830000e-06,131.662,2.048750000e-03,9.0130000e-01,6.7830000e-01,1.3990,8.4430000e-01,7.1900000e+01,8.90100e+00,1.1180000e+01,4.2580000,2.1990000e+00,4.46e+03,9.460000e+02,,,7090.00,308.00,3.49,0.34,4.311,1.789
1162150,1,,0.778574,7.102600000e-06,131.980,1.479950000e-03,7.0020000e-01,9.9600000e-01,1.3610,1.4720000e-01,9.4810000e+01,9.16500e+00,1.4420000e+01,4.5130000,1.0480000e+00,4.46e+03,9.460000e+02,,,7090.00,308.00,3.49,0.34,4.311,1.789
1161345,1,,4.287580,1.116950000e-06,133.434,1.523790000e-04,7.0640000e-01,2.7740000e-01,1.1130,4.0350000e-02,8.9070000e+02,7.82400e+00,1.3790000e+02,2.6160000,2.7060000e-01,9.40e+02,6.080000e+01,,,5295.00,104.00,4.58,0.11,0.812,0.100
1162150,3,,1.284530,2.585230000e-05,132.236,1.070330000e-02,9.1040000e-01,1.3810000e-01,4.1750,2.6580000e+00,6.2760000e+01,6.31800e+00,1.0300000e+01,3.9960000,5.0410000e-01,3.78e+03,8.010000e+02,,,7090.00,308.00,3.49,0.34,4.311,1.789
1293031,1,,1.078610,1.272980000e-05,132.563,3.908900000e-03,5.0000000e-01,2.6240000e+00,3.4610,1.3630000e+00,2.6430000e+01,3.37300e+00,9.2340000e+00,1.3200000,4.4690000e-01,2.91e+03,6.140000e+02,,,6363.00,214.00,3.80,0.35,2.489,1.036
1162345,1,,0.831777,1.136930000e-05,131.698,2.556340000e-03,8.7440000e-01,3.8940000e-01,2.3490,1.7510000e+00,2.4270000e+01,3.45500e+00,8.8120000e+00,0.9762000,2.4970000e-01,2.76e+03,6.370000e+02,,,6510.00,207.00,4.07,0.26,1.728,0.791
1292087,1,,0.547626,2.340840000e-05,131.888,4.088430000e-03,4.1560000e-01,5.7700000e+00,1.4080,5.4330000e-01,1.4140000e+01,4.04900e+00,5.2180000e+00,0.5786000,3.3390000e-01,2.91e+03,8.320000e+02,,,6328.00,207.00,4.15,0.29,1.502,0.852
1573174,2,,0.748347,7.786200000e-06,131.886,2.490030000e-03,6.4400000e-01,3.6020000e+00,2.8970,4.1720000e+00,2.7510000e+02,2.34900e+01,1.6210000e+01,3.4450000,2.2580000e+00,3.25e+03,8.250000e+02,,,7159.00,330.00,4.04,0.29,1.960,0.979
1574792,1,,1.391750,1.488460000e-05,131.572,4.111450000e-03,5.0770000e-01,2.1960000e+00,3.3300,6.2770000e-01,2.2040000e+01,3.08000e+00,8.1240000e+00,0.8991000,2.4550000e-01,2.47e+03,5.890000e+02,,,6793.00,251.00,4.05,0.27,1.848,0.871
1575690,1,,1.126200,1.569320000e-07,132.441,3.290970000e-05,5.0780000e-01,4.0930000e-02,1.6320,1.2180000e-02,2.3050000e+04,5.62000e+01,6.6330000e+02,10.3700000,1.0570000e-01,1.15e+03,6.870000e+01,,,4298.00,162.00,4.60,0.05,0.675,0.063
1575873,1,,0.629008,7.191270000e-06,131.551,1.210070000e-03,1.0380000e-01,3.9220000e+01,1.4210,4.8000000e-01,1.8430000e+01,1.87800e+00,1.5740000e+01,0.7839000,5.8880000e-01,3.16e+03,7.450000e+02,,,6734.00,215.00,4.06,0.27,1.804,0.842
1865567,1,,0.674634,1.044420000e-05,131.702,3.590520000e-03,9.0000000e-01,3.8640000e-01,2.1600,3.4770000e+00,4.7700000e+00,5.83400e-01,1.0120000e+01,0.5050000,1.1410000e-01,4.42e+03,1.520000e+03,,,9990.00,451.00,4.20,0.37,2.017,1.377
1865567,2,,1.349420,8.020030000e-06,132.595,2.329100000e-03,3.2460000e-01,2.5620000e+00,3.1590,2.9980000e-01,1.0650000e+01,7.81600e-01,1.7030000e+01,0.6806000,9.1170000e-02,3.51e+03,1.210000e+03,,,9990.00,451.00,4.20,0.37,2.017,1.377
